,Year,N11,N12,N13,N14,N15,N16,N17,N18,N19,N110,N111,N112,N21,N22,N23,N24,N25,N26,N27,N28,N29,N210,N211,N212,Population,Area,Zone1_n,Zone2_c,Zone3_s
臺中市北區,108,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147391,6.94,0,1,0
臺中市南區,108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,126571,6.81,0,1,0
臺中市西區,108,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,115273,5.7,0,1,0
臺中市中區,108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18390,0.88,0,1,0
新北市板橋區,108,2,0,1,0,1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,556897,23.14,1,0,0
新北市蘆洲區,108,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201883,7.44,1,0,0
新北市三重區,108,1,0,1,2,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,386336,16.32,1,0,0
新北市新莊區,108,0,1,0,2,2,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,420473,19.74,1,0,0
新北市永和區,108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,220595,5.71,1,0,0
新北市中和區,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413069,20.14,1,0,0
高雄市苓雅區,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167280,8.15,0,0,1
高雄市旗津區,109,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27785,1.46,0,0,1
高雄市三民區,109,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,336868,19.79,0,0,1
高雄市新興區,109,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50490,1.98,0,0,1
高雄市鹽埕區,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23553,1.42,0,0,1
臺北市大安區,109,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,302644,11.36,1,0,0
臺北市大同區,109,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123849,5.68,1,0,0
臺北市松山區,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200316,9.29,1,0,0
臺北市萬華區,109,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183088,8.85,1,0,0
臺北市信義區,109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215240,11.21,1,0,0
